Entity 1,Relation,Entity 2
Telecoms attack,use,Ligolo tunneling tool
attackers,used,Ligolo
Sectigo SSL certificate,issued by,Let's Encrypt
Clop,install,Lemurloot
REvil,developed by,Leafroller
e-qht.az,used by,Leafminer
malware payload,used in,Leafminer
Leafminer,connect to,Leafminer
Downloader.Ratankba,linked to,Lazarus tools
UNC4736,suspected to be,Lazarus Group
Operation Dream Job,involves,Lazarus
campaign,similar characteristics and file names,Latin American banking Trojan
PlugX,used by,Lancefly
Merdoor,is used by,Lancefly
Prcloader,is used by,Lancefly
Blackloader,is used by,Lancefly
ZXShell,used by,Lancefly
NBTScan,is used by,Lancefly
LSSAS Dumper,is used by,Lancefly
cal.exe,tool,LadonGo v3.8
attackers,run,LadonGo
attackers,used,LadonGo
attackers,use,Ladon penetration testing framework
Budworm,use,LaZagne
attackers,used,LaZagne
ProcDump,used,LSASS.exe
eHorus,deliver and run,LSASS dumping tool
CheckID,leverage,LSASS
CL0P ransomware group,install,LEMURLOOT
Cannondriver.exe,load,LBTServ.dll
rYFFCeKHlIT.bat,execute,KxFXQGVBtb.ps1
AppleJeus,marketed and distributed by,Kupay Wallet
active_desktop_launcher.exe,version of,KuGou Active Desktop
Clipminer,similar to,KryptoCibule
Trojan.Clipminer,similarity,KryptoCibule
ShadowPad,successor to,Korplug/PlugX Trojan
EvilExtractor,developed by ,Kodex
Google Chrome Web Store,used by,Kimsuky
Google+,compromised,Kimsuky
Flea,uses,Ketrican
Graphican,similar,Ketrican
Graphican,evolution of,Ketrican
Flea,develops,Ketrican
Flea,adapts,Ketrican
Autlogin.dll,part of,Kernel Driver Utility
Autologin.exe,part of,Kernel Driver Utility
Autologin.sys,part of,Kernel Driver Utility
KeeThief,copy master key from,KeePass
BrowserPassView,dump passwords from,KeePass
Booking.com,sister site,Kayak.com
Grixba,checks for existence of,Kaseya VSA
intrusion broker networks,sell access to,Karakurt
Kernel Driver Utility,aka,KDU
Wscript,execute,Jscript
EHAGBPSL loader,loaded by,JpgRun loader
Stonefly,link,Jokra
Flashback Trojan,exploits,Java vulnerability
Oracle,fixes,Java vulnerability
Apple,delays,Java update
Apple,releases,Java update
Apple,works on,Java Runtime Environment (JRE
Lemurloot,is,JS.Malscript!g1
MSI Installer,installs,JMTTrader.exe
AppleJeus Version 2,identified as,JMT Trading
APT28,also tracked as,Iron Twilight
Grixba,checks for existence of,Iperius
attacker,use,Invoke-TheHash
193[.]56[.]146[.]29,register,Interview conditions.word.exe
BrowserPassView,dump passwords from,Internet Explorer
attacker,execute,Intel.bat
attackers,use,Infostealer.Logdatter
Nodaria group,use,Infostealer.Graphiron
Graphiron,consist of,Infostealer.Graphiron
MSDT Follina Bug,drop,Infostealer
Shuckworm,deliver,Infostealer
BianLian,use,Impacket tool
Lancefly,use,Impacket Atexec
attackers,leveraged,Imjpuex.exe
Metasploit DLL,into,ImagingDevices.exe
malware,include,IcedID
Autodesk DWG TrueView,vulnerability,IPS signature Autodesk.DWG.TrueView.CVE-2022-27524.Memory.Corruption
Fortinet,release,IPS signature Autodesk.DWG.TrueView.CVE-2022-27524.Memory.Corruption
Fortinet,release,IPS signature Autodesk.DWG.TrueView.CVE-2022-27523.Memory.Corruption
Fortinet,release,IPS signature Adobe.InDesign.CVE-2022-28854.Memory.Leak
Fortinet,release,IPS signature Adobe.InDesign.CVE-2022-28853.Arbitrary.Code.Execution
Fortinet,released,IPS signature Adobe.Illustrator.CVE-2022-23186.Arbitrary.Code.Execution
Fortinet,released,IPS signature Adobe.Illustrator.CVE-2021-40718.Memory.Leak
Cloud One Workload Security,use,IPS Rule 1009058
Deep Security,use,IPS Rule 1009058
Corel.Presentations.CVE-2021-38102.Memory.Corruption,exists in,IPPP82.FLT
malicious email campaigns,employ,IP addresses
attackers,deploy,IP Logger
Budworm,use,IOX
Frebniis,hijack,IIS web server
Frebniis,communicate with,IIS server
Frebniis,hijack,IIS server
Trojan.Geppei,read,IIS log
Frebniis,hijack,IIS
HTTP request,made to,IIS
Grixba,checks for existence of,IDrive
Gopuram,use,ICONIC Stealer
HCL Domino,formerly,IBM Domino
Budworm,payload,HyperBro malware family
HyperBro,load,HyperBro loader
Pinion,aka,Hive
Grixba,checks for existence of,HitmanPro
ZXShell,used by,HiddenLynx/APT17
Emotet,aka,Heodo
BlackByte,run by,Hecamede
Billbug,use,Hannotog
Sagerunex,dropped by,Hannotog
document stealer module,change,Hangul Word Processor
Mantis,linked to,Hamas
GitHub,source of,Hacktool.Regeorg
attacker,use,Hacktool.Mimikatz
campaign,use,HackBrowserData
Sunburst,launch,HTTP-based C&C
iiscore.dll,called by,HTTP request
Frebniis,is,HTTP backdoor
Korplug/PlugX,use,HPCustParticUI.exe
BeagleBoyz,use,HOPLIGHT
PandorahVNC RAT,define,Group id
Play ransomware gang,developed,Grixba
Nodaria,use,GrimPlant
Graphiron,similarity to,GrimPlant
Sidewalk backdoor,deployed in,Grayfly campaigns
Blackfly,associated with,Grayfly
Sidewalk,attributed to,Grayfly
APT41,aka,Grayfly
Mimikatz,used by,Grayfly
Nodaria,use,Graphiron
Flea,use,Graphican
Nodaria,use,GraphSteel
Graphiron,similarity to,GraphSteel
attackers,use,GrabFF
Thieflock,use,GrabFF
attackers,use,GrabChrome
kagomadb[.]com,used for,Gozi
campaign,use,Gost proxy
www.madafak[DOT]in,pass itself off as,Google Analytics
Void Rabisu,use,Google Ads
Zerobot,family,Golang botnets
Grixba,checks for existence of,GoToAssist
Grixba,checks for existence of,GoTo Resolve
campaign,use,Go-strip
Stowaway Proxy Tool,written in,Go language
LadonGo v3.8,written in,Go
Arid Gopher,written in,Go
ScarCruft,maintain,GitHub repository
Chinese state-sponsored cyber actors,import,GitHub
Trochilus,available for download on,GitHub
ntuser,associated with,Giddome backdoor
Gh0st RAT,used by,GhostNet
PowerShell,seen with,GhostMiner
Space Pirates,deploy,Gh0st RAT
Webworm,develop,Gh0st RAT
Webworm,prepare,Gh0st RAT
Grixba,checks for existence of,Getscreen
web shell HTTP session,interacted with,GetEcpWebConfigModule.dll
PowerShell,download,GetCredManCreds
BITSAdmin,download,GetCredManCreds
Emotet,aka,Geodo
REvil,associated with,Gandcrab
Shuckworm group,aka,Gamaredon
Shuckworm,aka,Gamaredon
Othorene,aka,Gallium
Mining script,trigger,GTM-PRFLJPX
Grayfly,aka,GREF
Kimsuky,use,GREASE
Noberus,utilize,GMER
herbertm[.]shop,connected to,Fundelivereddss[.]com
attackers,use,Fscan
go64.exe,copy of,Fscan
LockBit,use,FreeFileSync
Backdoor.Frebniis,dubbed,Frebniis
C2 server,belongs to,FranTech Solutions
PandorahVNC RAT,steal credentials from,Foxmail
Corel.Presentations.CVE-2021-38110,released by,Fortinet
Corel.Presentations.CVE-2021-38106.Memory.Corruption,released by,Fortinet
Corel.Presentations.CVE-2021-38102.Memory.Corruption,released by,Fortinet
malware samples,include,Formbook
ZXShell Rootkit,export,FormDll.dll
Form.pdb,load,FormDll.dll
Loadpoint,file,Form.pdb
ZXShell,read,Form.hlp
Blackfly,use,ForkPlayground
APT28,also tracked as,Forest Blizzard
Truebot,load,FlawedGrace
OSX.FlashBack,also known as,Flashback Trojan
PandorahVNC RAT,steal credentials from,Firefox
attacker,use,Filezilla Rclone
TrickBot,obtain,Filezilla
attackers,use,FileZilla
Sparrow PowerShell script,output,FileItems_Operations_Export.csv
Sparrow,output,FileItems_Operations_Export.csv
Quasar RAT,download,FastUploader
attackers,use,FastReverseProxy
attackers,deploy,FastCopy
Mining script,domain,Fast-search.tk
Hydrochasma,drop,Fast Reverse Proxy (FRP
APT28,also tracked as,Fancy Bear
Swallowtail,aka,Fancy Bear
TDSS Killer,detects,FakeAV
RDPdoor v4.2.x,installs,FabulaTech USB for Remote Desktop
EvilExtractor,use,FTP service
malware,upload,FTP server
BianLian group,use,FTP
threat actor,install,FRPC
threat actor,use,FRPC
Russia's military intelligence service,linked to,FROZENLAKE
Coreid,aka,FIN7
Snakefly,aka,FIN11
Win32/Spy.Ranbyus,has MD5 hash,F2744552D24F7EA31E64228EB3022830
Emotet,inject in,Explorer.exe
Meduza Stealer,offered for sale on,Exploit.in
Noberus,use,Exmatter
Exbyte,use,Exmatter
BlackMatter,use,Exmatter
Noberus,used alongside,Exmatter
Backdoor.Zala,aka,Exforel
BeagleBoyz,use,Exfiltration Over C2 Channel
T1095,use,Exchange server
GetEcpWebConfigModule.dll,gets,Exchange server
Thor.dll,add accounts to,Exchange roles
Certutil,request,Exchange Web Services
CVE-2021-27857,execute code on,Exchange Server
BlackByte,deploy,Exbyte
Silence,historical links with,Evil Corp
Daggerfly,aka,Evasive Panda
MgBot,appears in,Evasive Panda
Purple Haze,analyzed by,Eugene Rodionov
Chaos Ransomware,likely,Ethereum mining app
Equation Group tools,include,EternalRomance
Equation Group tools,include,EternalBlue
WannaCry,incorporated,EternalBlue
Daxin,designed for,Espionage tool
Daxin,most advanced,Espionage tool
Cicada,engage in,Espionage
Magix,used by,ErrorReportClient.exe
Retooled Waterbug,use,Equation Group tools
Mealybug,use,Emotet
malware,include,Emotet
Nodaria,use,Elephant Dropper
Nodaria,use,Elephant Downloader
Nodaria,use,Elephant Client
Grixba,checks for existence of,Electric Pulseway
Grixba,checks for existence of,EaseUS
Noberus,use,Eamfo
Noberus,involving,Eamfo
Flea,uses,EWSTEW
Microsoft Exchange server,access,EWS
PurpleHaze,analyzed by,ESET
Antlion,use,EHAGBPSL loader
LockBit 3.0,modify,EDR
BeagleBoyz,use,ECCENTRICBANDWAGON
LockBit,end,Dumpcap
Backdoor.Preft,aka,Dtrack
Chinese state-sponsored cyber actors,use,Dropbox® API
exfiltration tool,abuse,Dropbox
data-exfiltration tool,send data to,Dropbox
Grixba,checks for existence of,Dropbox
hyydn.nortonsoft[.]com,C&C domain,Dripion
mhysix.mcfeesoft[.]com,C&C domain,Dripion
CVE-2021-44228,been exploited to,"Dridex, malware"
Hispid,leveraged,Dridex botnet
Grixba,checks for existence of,Dr.Web
watering-hole attacks,link to,Downloader.Ratankba
Graphiron,consist of,Downloader.Graphiron
Tick,use,Downloader.Gofarer
Equation Group tools,include,DoublePulsar
coingotrade[.]com,same ASN,Dorusio[.]com
198.54.114[.]237,in same ASN as,Dorusio[.]com
Dorusio.exe,runs,DorusioUpgrade.exe
Dorusio Application Analysis Windows Program,installs,DorusioUpgrade.exe
Dorusio Application Analysis Windows Program,installs,Dorusio.exe
AppleJeus,distributed by,Dorusio
Wintapix.sys,use,Donut
APT actors,upload,Done.html
Sparrow,output,Domain_Operations_Export.csv
Sparrow PowerShell script,output,Domain_Operations_Export.csv
Sparrow,output,Domain_List.csv
Sparrow PowerShell script,output,Domain_List.csv
attacker,gained access to,Domain Controller
Thor.dll,authenticate to,Domain
d.sh script,use,Docker API
Form.pdb,call,DoRVA
attacker,run,Dnscmd utility
MSDriverMonitor.exe,drop,DllHelper.exe
thebypasstool,use,Discord webhook
judyb-advanced,use,Discord webhook
1768.py,created by,Didier Stevens
AdFind,deliver,Diavol
CVE-2018-8222,exploit,Device Guard
Mantis,aka,Desert Falcon
LockBit,use,DelSvc.bat
LockBit,use,Defoff.bat
LockBit,use,DefenderControl.exe
Grixba,checks for existence of,DeepArmor
Chinese espionage actors,associated with,Daxin
Backdoor.Zala,same actor,Daxin
Trojan.Emulov,variant of,Daxin
ndis.sys,analyzed by,Daxin
Micropsia,includes,Data Exfiltration Tool
Downloader.Gofarer,install,Daserf
BlackMatter,used in,Darkside attack on Colonial Pipeline
Noberus Ransomware,successor,Darkside
Coreid,shut down,Darkside
Noberus,successor of,Darkside
Coreid,aka,Darkside
ransomware attack,carried out by,DarkSide
Stonefly,aka,DarkSeoul
Tor-based tips line,located on,Dark Web
MSDriverMonitor.exe,execute,Dark Crystal RAT
Grixba,checks for existence of,DameWare
MgBot,associated with,Daggerfly
MgBot,appears in,Daggerfly
CVE-2021-45046,used for,DOS attack
macOS X Program,tool,DMG Installer
LockBit,relaunch,DLLHost.exe
active_desktop_launcher.exe,used in,DLL search order loading attack
Chinese state-sponsored cyber actors,use,DLL
Stonefly,mount,DDoS attacks
AndoryuBot,start,DDoS Attack
Plus role,access,DDoS
Sandworm,use,Cyclops Blink
Budworm,use,CyberArk Viewfinity
Play Ransomware Group,use,Custom Data-Gathering Tools
Lancefly,uses,Custom Backdoor
Antlion,use,Custom Backdoor
Infostealer.Eamfo,associated with,Cuba
Beapy,for,Cryptojacking
attackers,install,Cryptodome
AppleJeus,used in,Cryptocurrency attacks
104.200.67[.]96,controlled by,"CrownCloud US, LLC"
Sunburst,disable,CrowdStrike processes
Sidewalk backdoor,related to,Crosswalk backdoor
Blackfly,use,Credential-dumping tool
MSI Installer,installs,CrashReporter.exe
PsExec,execute,Crash Handler
Dnscmd utility,load,Crash Handler
PsExec,launch,Crash Handler
Regeorg webshell,used by,Cranefly
SVR,aka,Cozy Bear
GRUNTStager.hta,executed,Covenant
Custom Downloader,leverage,Costura Assembly Loader
screenshot tool,packed with,Costura Assembly Loader
(VSS Copying Tool,developed with,Costura
Grixba,used,Costura
Corel.Presentations.CVE-2021-38102.Memory.Corruption,exists in,Corel Presentations 2020
Corel.Presentations.CVE-2021-38106.Memory.Corruption,exists in,Corel Presentations 2020
Exmatter,use alongside,Coreid's ransomware
Exmatter,creation of,Coreid
Noberus,developed by,Coreid
RaaS operation,developed by,Coreid
BlackMatter,linked to,Coreid
WinRAR archive,drop,Control Panel (CPL
Monti,resemble,Conti ransomware
Monti,based on,Conti ransomware
attackers,deliver,Conti ransomware
botnet operators,collaborate with,Conti ransomware
IcedID,used by,Conti ransomware
TrickBot,drop,Conti ransomware
email protected] [.]com,reference,Conti gang
attackers,use,Conti
Cobalt Strike,used in conjunction with,Conti
Miner cyber-crime group,use,Conti
Bumblebee,linked to,Conti
CVE-2021-44228,been exploited to,Conti
Miner group,linked to,Conti
Sparrow PowerShell script,output,Consent_Operations_Export.csv
Sparrow,output,Consent_Operations_Export.csv
affiliates,use,ConnectWise Control
Bumblebee,deploy,ConnectWise
attackers,deploy,ConnectWise
Grixba,checks for existence of,ConnectWise
Buhti,install,ConnectWise
Noberus,deploy,ConnectWise
malware,accesses,Command and Control server
BianLian group actors,use,Command Shell
198.54.115[.]51,same ASN,CoinGoTrade[.]com
198.54.114[.]237,in same ASN as,CoinGoTrade[.]com
CoinGoTradeUpdate.exe,run,CoinGoTradeUpdate.exe
MSI Installer,execute,CoinGoTrade.exe
AppleJeus Version 5,marketed and distributed by,CoinGoTrade
Grixba,checks for existence of,Cobian
Conti ransomware group,use,CobaltStrike
explorer.exe,drop and execute,Cobalt Strike beacon
Raindrop,deploy,Cobalt Strike Beacon
Raindrop,pack,Cobalt Strike Beacon
Grayfly,use,Cobalt Strike
attacker,use,Cobalt Strike
Agentemis,aka,Cobalt Strike
AdFind,used with,Cobalt Strike
Buhti,install,Cobalt Strike
attackers,used,Cobalt Strike
Backdoor.Teardrop,extract,Cobalt Strike
Sodinokibi,leveraging,Cobalt Strike
Budworm,use,Cobalt Strike
adf.bat,used with,Cobalt Strike
AdFind,used alongside,Cobalt Strike
malware,install,Cobalt Strike
Teardrop,deploy,Cobalt Strike
Chinese state-sponsored cyber actors,use,Cobalt Strike
TONESHELL,obfuscation method,Cobalt Strike
Brute Ratel,drop,Cobalt Strike
Raindrop,deliver,Cobalt Strike
SVR cyber operators,use,Cobalt Strike
LockBit,use,Cobalt Strike
attackers,use,Cobalt Strike
ransomware,used tool,Cobalt Strike
chat.openai[.]com,cache,Cloudflare's CDN
attackers,communicate with,CloudMe.com
Harvester,leverage,CloudFront
Snakefly,run,Clop
TA505,facilitated the distribution of,Cl0p ransomware
CVE-2023-34362,exploited by,Cl0p
TA410,linked to,Cicada group
Sodamaster,used by,Cicada
NetScaler,tool,ChunkyTuna
zipsearch[.]xyz,seen in,Chromnius
blackfriday.slickdelas[.]net,prompted visitors to install,Chromnius
search[.]onlinegamezone[.]club,seen in,Chromnius
PandorahVNC RAT,steal credentials from,Chrome
LockBit,use,Chocolatey
Colonial Pipeline attack,related to,Chinese state-sponsored threat actors
T1069,used by,Chinese state-sponsored cyber actors
T1564,used by,Chinese state-sponsored cyber actors
Grayfly,attributed to,Chinese espionage operation
Grayfly,associated with,Chinese Threat Actor
CVE-2020-0688,exploited by,Chinese MSS-affiliated threat actors
CVE-2020-0688,exploited by,Chinese MSS-affiliated actors
PlugX,used by,Chinese APT groups
Blackfly,associated with,Chinese APT group
Grayfly,associated with,Chinese APT group
Daxin,used by,China-linked espionage group
Backdoor.Daxin,used by,China-linked actors
Espionage tool,seen from,China-linked actors
Daxin,used by,China-linked actor
MgBot,associated with,China-linked APTs
PingPull,mirror,China Chopper
Grayfly,used by,Chengdu 404
eHorus,execute,Certutil
Telecoms attack,use,Certutil
attacker,using,Certutil
Thieflock,use,Cent browser
Coreid,aka,Carbon Spider
Hodprot,is a,Carberp cybercrime group
Coreid,use,Carbanak
VirusTotal,upload,Calc
Wipers,linked,CaddyWiper
Clop ransomware,exploit,CVE-2023-34362
Buhti,exploit,CVE-2023-27350
spyware vendor,abuse,CVE-2023-26083
Google's Threat Analysis Group,reveal,CVE-2023-26083
Condi,exploit,CVE-2023-1389
group,exploit,CVE-2023-0669
Blacktail,exploit,CVE-2022-47986
Play Ransomware,targeting,CVE-2022-41082
Play Ransomware,targeting,CVE-2022-41080
Adobe InDesign,vulnerability,CVE-2022-28855
LBudworm,leverage,CVE-2021-45105
malware,exploiting,CVE-2021-44228
Budworm,leverage,CVE-2021-44228
attacker,exploit,CVE-2021-44228
T1573.001,used by,CVE-2021-44077
attacker,exploit,CVE-2021-36942
malware,exploiting,CVE-2021-34523
Hive ransomware,exploit,CVE-2021-34523
Witchetty,exploit,CVE-2021-34523
BlackByte,exploit,CVE-2021-34523
Witchetty,exploit,CVE-2021-34473
malware,exploiting,CVE-2021-34473
BlackByte,exploit,CVE-2021-34473
Hive actors,exploit,CVE-2021-34473
Witchetty,exploit,CVE-2021-31207
malware,exploiting,CVE-2021-31207
Hive actors,exploit,CVE-2021-31207
BlackByte,exploit,CVE-2021-31207
Witchetty,exploit,CVE-2021-27065
CVE-2021-26855,chain,CVE-2021-27065
BlackByte,exploit,CVE-2021-26855
CVE-2021-27857,authenticated by,CVE-2021-26855
malware,exploiting,CVE-2021-26855
Witchetty,exploit,CVE-2021-26855
Fscan,exploit,CVE-2021-26855
Muhstik,exploit,CVE-2021-26084
Chinese state-sponsored cyber actors,exploit,CVE-2020-5902
LadonGo,exploit,CVE-2020-1472
Hive actors,exploit,CVE-2020-12812
VESTA,affected by,CVE-2020-10787
VESTA,affected by,CVE-2020-10786
Chinese state-sponsored cyber actors,exploit,CVE-2019-19781
actors,leverage,CVE-2019-19781
TA2,exploit,CVE-2019-18935
CheckID,exploit,CVE-2019-1458
Chinese state-sponsored cyber actors,exploit,CVE-2019-11510
Chinese MSS-affiliated actors,scanning for,CVE-2019-11510
malware,exploiting,CVE-2018-13379
malware,exploiting,CVE-2018-13374
Done.html,confirm successful exploitation,CVE-2017-9248
Excel,combine,CVE-2017-0199
EternalBlue,use,CVE-2017-0145
EternalBlue,use,CVE-2017-0144
Tick,take advantage of,CVE-2014-4114
Peter Kruse,associated with,CSIS.dk
Tinba,associated with,CSIS.dk
Bitdefender Crash Handler,copy to,CSIDL_SYSTEM_DRIVE\xampp\tmp\vmware.exe
cmd.exe,move,CSIDL_SYSTEM_DRIVE\temp\sys.tmp1
CSIDL_SYSTEM\services.exe,execute,CSIDL_SYSTEM\wininit.exe
sqlservr.exe,execute,CSIDL_SYSTEM\services.exe
addins.cpl,delete,CSIDL_SYSTEM\rundll32.exe
PuTTY sessions,export,CSIDL_SYSTEM\reg.exe
cmd.exe,issue,CSIDL_SYSTEM\cmd.exe
bitsadmin.exe,downloaded,CSIDL_PROFILE\public\2.bat
ProcExplorer,launch,CSIDL_PROFILE\desktop\processexplorer\procexp64.exe
addins.cpl,delete,CSIDL_COMMON_APPDATA\addins.cpl
rundll32.exe,run,CSIDL_COMMON_APPDATA\2429189468.dll
bitsadmin,download,CSIDL_APPDATA\a8f4.exe
BeagleBoyz,use,CROWDEDFLOUNDER
TAXHAUL launcher,deploy,COLDCAT downloader
CVE-2023-34362,exploited by,CL0P ransomware group
PowerShell command,save as,C:\temp\sys.tmp1
Remote Access Service,execute,C:\Windows\System32\vcmon.exe
keylogger,log keystrokes,C:\WINDOWS\setup.log
Brute Ratel,drop,C:\Users\Public\abcabc.xls
Brute Ratel,drop,C:\Users\Public\abc-1234.xls
Brute Ratel,drop,C:\Users\Public\Orders_12_34_56.xls
Brute Ratel,run,C:\Users\Public\Name-123456.xls
Brute Ratel,drop,C:\Users\Public\MkDir.xls
MSDriverLoader.exe,save as,C:\Users\Public\MSLoader.exe
Warzone,persistence,C:\Users\Admin\Documents\Adobe5151.exe
Trochilus RAT,load configuration from,C:\ProgramData\resmon.resmoncfg
Trochilus RAT,load configuration from,C:\ProgramData\appsoft\resmon.resmoncfg
 logexts.dat,copy,C:\ProgramData\Logger\sc.cfg
Trochilus RAT,load configuration from,C:\ProgramData\Logger\sc.cfg
logexts.dat,copy,C:\ProgramData\Logger\logexts.dll
logexts.dat,copy,C:\ProgramData\Logger\logexts.dat
logexts.dll,start,C:\ProgramData\Logger\Logger.exe
 logexts.dat,copy,C:\ProgramData\Logger\Logger.exe
cmd.exe,execute,C:\ProgramData\Intel\Intel.bat
runner.exe,compiled from,C:/builder/runner/main.go
CrashReporter program,send to,C2 website
Formbook,contains,C2 servers
cryptocurrency miner,downloaded from,C2 servers
PandorahVNC RAT,define,C2 server address
149.154.167.91,communicate with,C2 server
security plugins,bypass,C2 server
PHP script,use,C2 server
binary,use,C2 server
Redline,submit to,C2 server
Quasar RAT,connect to,C2 server
Ave Maria,connect to,C2 server
Warzone,communication,C2 server
malware,contact,C2 server
ScrubCrypt,communicate with,C2 server
TA2 malware,establish,C2 server
AsyncRAT,communicates with,C2 server
Kimsuky,use,C2 server
cyber threat actors,use,C2 infrastructure
Demon,Configure,C2 domains
MyDoom,rotate through,C2 domains
Demon,Use,C2 domain
FlawedGrace,establish,C2 connection to 92.118.36[.]199
malware,contact,C2 Servers
reverse shell utilities,communicate with,C2 IP addresses
Trochilus,implemented in,C++
Harvester,use,C&C servers
Sunburst,contact,C&C servers
AsyncRAT,connect to,C&C servers
Tick,use,C&C servers
Downloader.Graphiron,contains,C&C server addresses
Pterodo,use,C&C server
payload,download from,C&C server
updated version of POSHC2 stager,communicate with,C&C server
POSHC2 stager,communicate with,C&C server
POSHC2,communicate with,C&C server
Custom proxy utility,connect to,C&C server
Bumblebee,contact,C&C server
Backdoor.Pterodo.B,send to,C&C server
Sunburst,contact,C&C server
Graphican,connect,C&C server
Graphiron,connect to,C&C server
Graphiron,communicate with,C&C server
Sunburst,send to,C&C server
msiexec.exe,connect,C&C server
baby.cmd,download and execute,C&C server
backed.exe,downloaded from,C&C server
Quasar RAT,communicate with,C&C server
Dripio,use,C&C server
RedLine Stealer,send to,C&C server
malware,send to,C&C server
Sagerunex,communication with,C&C server
Spyder Loader,use,C&C server
Thumbsender,receive command from,C&C server
Atharvan,contact,C&C server
Tinba,uses domains for,C&C communication
Sunburst,contact,C&C
Morpho,renamed,Butterfly
job-themed malware,use,Bumblebee loader
AdFind,link with,Bumblebee
Mountlocker,linked to,Bumblebee
Conti,linked to,Bumblebee
adf.bat,used in,Bumblebee
AdFind,used in,Bumblebee
Babuk,repurpose,Buhti
Iron Tiger,aka,Budworm
QAKBOT,drop,Brute Ratel
Plus role,access,Brute
campaign,use,BrowserGhost
Daggerfly,aka,Bronze Highland
Blackfly,aka,Bronze Atlas
PowerShell,seen with,Bluwimps
SharpHound,deployed by,Bluebottle
PsExec,deployed by,Bluebottle
Mimikatz,deployed by,Bluebottle
personnel[.]bdm-sa[.]fr,seen in,Bluebottle
RDPWrap script,deployed by,Bluebottle
LockBit 3.0,use,Blister Loader
Buhti,assign,Blacktail
Coreid,aka,Blackmatter
Exmatter,used alongside,Blackmatter
Purple Haze,distributed via,Blackhole exploit kit
Korplug/PlugX,link to,Blackfly/Grayfly
Rootkit driver,associated with,Blackfly
APT41,aka,Blackfly
Stonefly,aka,BlackMine
Noberus,successor of,BlackMatter
Exmatter,used by,BlackMatter
Darkside,replace with,BlackMatter
Noberus Ransomware,successor,BlackMatter
CheckID,based on,BlackHole RAT
Noberus,aka,BlackCat
Exbyte,similar to,BlackByte
Syrphid,aka,Bitwise Spider
attackers,use,BitsAdmin
Imjpuex.exe,install,Bitdefender Crash Handler
pompompurin,funded,Bitcoin address
scammer,use,Bitcoin Variation
WhisperGate,demand,Bitcoin
attackers,install,BitDefender
Thrip,same group as,Billbug
PowerShell scripts,used by,BianLian group
C2 servers,associated with,BazarLoader
Bumblebee,introduced as replacement for,BazarLoader
Miner cyber-crime group,use,BazarLoader
zoomofferblackfriday[.]com,used in,Batloader
slackcloudservices[.]com,used in,Batloader
Water Minyades,deploy,Batloader
anydeskofferblackfriday[.]com,used in,Batloader
logmeinofferblackfriday[.]com,used in,Batloader
LockBit 3.0,use,Bat Armor
hxxp://109[.]206[.]243[.]207/ssh/x86_64,servering,Bash scripts
RapperBot,use,Bash scripts
Play Ransomware,developed by,Balloonfly
Daxin,build on,Backdoor.Zala
Winnti/Pasteboy,is,Backdoor.Winnti
Blackfly,use,Backdoor.Winnkit
Sunburst,aka,Backdoor.Sunburst
Teardrop,delivered by,Backdoor.Sunburst
Sunburst backdoor,aka,Backdoor.Sunburst
SolarWinds,use,Backdoor.Sunburst
Witchetty,use,Backdoor.Stegmap
LookBack,use,Backdoor.Stegmap
Shadowpad,is,Backdoor.Shadowpad
Sagerunex,aka,Backdoor.Sagerunex
Elfin,use,Backdoor.Remvio
Raindrop,aka,Backdoor.Raindrop
Shuckworm,spread,Backdoor.Pterodo
Stonefly,use,Backdoor.Prioxer
attackers,install,Backdoor.Preft
Longhorn,called,Backdoor.Plexor
Elfin,use,Backdoor.Notestuk
Grayfly,use,Backdoor.Motnug
PlugX/Fast,is,Backdoor.Korplug
Hannotog,aka,Backdoor.Hannotog
Harvester,use,Backdoor.Graphon
Flea,leverage,Backdoor.Graphican
Lazarus,tool,Backdoor.Fimlis.B
Lazarus,tool,Backdoor.Fimlis
Trojan.Banswift,shared code with,Backdoor.Contopee
Clasiopa,use,Backdoor.Atharvan
Frebniis,Establish,Backdoor
Daxin,belong to,Backdoor
Graphican,belong to,Backdoor
Igor,use,Bachosens
Buhti,use,Babuk
Cuba ransomware operators,use,BURNTCIGAR
Ketrican,based on,BS2005
attacker,using,BITSAdmin
threat actors,use,BITSAdmin
attacker,use,BCDEdit
46[.]101[.]183[.]162,seen in,B0tchZ 0.2a
198[.]98[.]61[.]106:8080,C2 server of,B0tchZ 0.2a
attacker,use,AvosLocker
Sirex,aka,AvosLocker
Lancefly,install,Avast
Cobalt Strike,used to deliver,Avaddon ransomware
LockFile,copy,Autoupdate.exe
LockFile,copy,Autologin.exe
LockFile,copy,Autologin.dll
LockFile,copy,Autologin.bat
Elfin,use,AutoIt backdoor
Tanikaze.dll,component of,Autlogin.dll
Arid Gopher,stapp,AttestationWmiProvider.exe
Arid Gopher,contains,AttestationWmiProvider.exe
Grixba,checks for existence of,Atlassian Surfly
Clasiopa,use,Atharvan
attacker,use,Atera agent
Grixba,checks for existence of,Atera
attackers,used,Atera
Bumblebee,deploy,Atera
remote code execution flaw,drop,AsyncRAT
RomCom 3.0,used in,AstraChat campaign
Shuckworm,aka,Armageddon
Shuckworm group,aka,Armageddon
Mantis,aka,Arid Viper
Mantis,use,Arid Gopher backdoors
Micropsia,execute,Arid Gopher
attackers,retire,Arid Gopher
Micropsia,includes,Arid Gopher
